"","District","DisaggregationCategory","Category","MathScores2019","ELAScores2019","MathScores2022","ELAScores2022","TotalEnrollment","Blended","PercentBlended","Remote","PercentRemote","remote_cat"
"461","31","Race or Ethnicity","Asian","613.413950048039","611.2063676374","610.834770084098","612.121833610984","7764","1413","18.2","6351","81.8","High"
"462","31","Race or Ethnicity","Black","589.045755688751","592.334779324768","584.056099133037","592.7085576295","7262","2855","39.3","4407","60.7","Middle"
"463","31","Race or Ethnicity","Hispanic","594.658391627062","596.802482717072","590.082367811123","597.515040688891","17592","7174","40.8","10418","59.2","Middle"
"464","31","Race or Ethnicity","White","607.068285601622","607.929060460666","604.251999215683","609.30627509155","25441","12470","49","12971","51","Low"
"465","31","total","total","602.0611","603.4874","598.7","604.573","59615","24574","41.22","35041","58.78","Middle"
"466","32","English Language Learner Status","ELL","588.90616645748","587.693947848242","581.350608491687","586.820256880777","2241","1192","53.2","1049","46.8","Low"
"467","32","English Language Learner Status","Not ELL","596.812783203082","597.731486824496","590.847279535307","599.480238617467","7591","2620","34.5","4971","65.5","Middle"
"468","32","Gender","Female","594.404291421253","597.409363264124","586.045145284954","598.048171915213","4746","1818","38.3","2928","61.7","Middle"
"469","32","Gender","Male","593.700514620312","591.474511980106","587.508550916088","591.962451905363","5086","1994","39.2","3092","60.8","Middle"
"470","32","Grade Level","3","593.25","592.3257446","590.1900635","590.9812012","671","328","48.9","343","51.1","Low"
"471","32","Grade Level","4","592.6130371","590.8512573","580.9855957","585.3267212","679","319","47","360","53","Low"
"472","32","Grade Level","5","592.3306274","592.5820313","584.5095825","593.6851196","790","347","43.9","443","56.1","Middle"
"473","32","Grade Level","6","593.7106934","594.4906006","586.305603","596.7045288","952","381","40","571","60","Middle"
"474","32","Grade Level","7","594.4210815","596.8899536","589.9391479","600.815979","962","369","38.4","593","61.6","Middle"
